YYYY,MM,DD,SST_MIN,SST_MAX,SST@90th_HS,SSTA@90th_HS,90th_HS>0,DHW_from_90th_HS>1,BAA_7day_max
2013,11,23,29.4804,30.3872,30.0798,0.5542,0.5245,0,1
2013,11,24,29.7671,30.3893,30.1691,0.8472,0.752,0,1
2013,11,25,29.1481,30.1891,29.6229,0.3181,0.2772,0,1
2013,11,26,29.2948,29.8865,29.5399,0.2307,0.1539,0,1
2013,11,27,29.3781,29.9726,29.5893,0.2631,0.2015,0,1
2013,11,28,29.4139,29.9507,29.6861,0.3876,0.2791,0,1
2013,11,29,29.2946,30.2279,29.9625,0.494,0.4467,0,1
2013,11,30,29.0725,30.1366,29.7671,0.3781,0.362,0,1
2013,12,1,29.2515,30.5456,30.2603,0.8958,0.8248,0,1
2013,12,2,29.9484,31.2997,30.954,1.4373,1.4275,0.2039,2
2013,12,3,29.7274,30.952,30.652,1.2854,1.243,0.3815,2
2013,12,4,29.8281,31.1594,30.8483,1.4155,1.4147,0.5836,2
2013,12,5,30.0073,30.6541,30.4301,0.9944,0.905,0.5836,2
2013,12,6,29.8152,30.38,30.2483,0.7346,0.7255,0.5836,2
2013,12,7,29.7363,30.5923,29.9644,0.7193,0.5596,0.5836,2
2013,12,8,29.7092,30.4817,30.0688,0.772,0.623,0.5836,2
2013,12,9,29.78,30.364,29.9842,0.5829,0.5435,0.5836,2
2013,12,10,29.8511,30.5194,30.313,0.8,0.7522,0.5836,2
2013,12,11,29.756,30.4048,30.1266,0.6697,0.6075,0.5836,1
2013,12,12,29.8257,31.2329,30.9109,1.6338,1.4479,0.7904,2
2013,12,13,29.9223,30.8712,30.5419,1.1161,1.0609,0.942,2
2013,12,14,30.0332,31.0008,30.8049,1.2552,1.2259,1.1171,2
2013,12,15,30.2406,31.6605,31.0896,1.5641,1.5483,1.3383,2
2013,12,16,30.2472,31.4498,30.8455,1.447,1.3163,1.5264,2
2013,12,17,30.0986,31.162,30.5903,1.0974,1.0615,1.678,2
2013,12,18,29.6692,30.7143,30.2955,0.8244,0.7723,1.678,2
2013,12,19,29.2847,30.3624,29.6455,0.5988,0.2389,1.678,2
2013,12,20,29.483,30.3547,29.9321,0.4493,0.4054,1.678,2
2013,12,21,30.1565,30.8919,30.5497,1.4315,1.169,1.845,2
2013,12,22,30.0144,30.7264,30.2107,1.1331,0.7974,1.845,2
2013,12,23,29.8156,30.5243,30.1536,0.9372,0.8156,1.845,2
2013,12,24,29.6319,30.3774,30.1004,0.6383,0.5547,1.845,2
2013,12,25,29.5202,30.2486,29.908,0.4358,0.331,1.845,2
2013,12,26,29.1732,30.0232,29.5831,0.1049,0,1.845,2
