Date,Year,Site,Depth,Transect,Transect_old,Surveyor,GEN,morph,Number,Status,H1,H2,H3,H4
6/24/2017,2017,CristoRei,10m,2,2,CK,CYP,,2,Comp,turf,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,DIP,,1,Comp,turf,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,CYP,,1,Comp,BUR,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,FUN,,1,Disease,GA,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,FUN,,13,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,CTE,,1,Comp,turf,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,SAN,,1,Comp,turf,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,GAL,,7,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,GAL,,1,Comp,turf,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,GAL,,1,Comp,BUR,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,GAL,,1,Comp,Broken,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,PEC,,5,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,OXY,,2,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,EPHY,,2,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,MYC,,5,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,MYC,,1,Comp,turf,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,LOB,,2,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,SYM,,1,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,MER,,5,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,HYD,br,4,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,HYD,enc,7,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,HYD,br,2,Comp,turf,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,HYD,enc,1,Comp,turf,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,MER,,1,Comp,Broken,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,PAV,,1,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,PAV,,1,Comp,BUR,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,LEPTO,,3,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,PAC,,7,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,PAC,,2,Comp,whspot,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,PAC,,2,Comp,turf,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,PAC,,3,Comp,BUR,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,GAR,,1,Comp,BUR,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,PSA,,1,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,PSA,,2,Comp,Pale,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,EUP,,2,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,10m,2,2,CK,POR,mass,5,Comp,turf,BUR,,
6/24/2017,2017,CristoRei,10m,2,2,CK,POR,mass,1,Comp,Pred,BUR,,
6/24/2017,2017,CristoRei,10m,2,2,CK,POR,mass,1,Comp,Pred,turf,,
6/24/2017,2017,CristoRei,10m,2,2,CK,POR,mass,1,Comp,BUR,turf,INV,
6/24/2017,2017,CristoRei,10m,2,2,CK,podo?,,1,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,ACR,tab,5,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,ACR,bushy,3,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,ACR,tab,1,Comp,turf,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,ACR,dig,1,Comp,Broken,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,MONTI,,7,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,MONTI,br,1,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,MONTI,,4,Comp,BUR,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,POC,,6,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,POC,,1,Comp,turf,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,POC,,4,Comp,PBT,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,POC,,2,Comp,Pale,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,POR,mass,3,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,POR,mass,6,Comp,turf,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,POR,mass,9,Comp,BUR,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,POR,mass,1,Comp,INV,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,POR,br,2,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,POR,br,1,Comp,turf,CCA,,
6/24/2017,2017,CristoRei,5m,2,1,CK,POR,br,1,Comp,turf,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,POR,br,1,Comp,SoftCoral,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,Favia,,3,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,MON,,1,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,MON,,3,Comp,turf,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,FAV,,5,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,EPOR,,4,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,FAV,,2,Comp,TL,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,FAV,,1,Comp,Pale,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,PLA,,8,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,PLA,,1,Comp,CCA,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,GONIAS,,6,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,PLA,,3,Comp,turf,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,GONIAS,,3,Comp,turf,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,PLA,,1,Comp,BUR,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,GONIAS,,3,Comp,BUR,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,PLA,,1,Comp,Pale,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,GONIAS,,2,Comp,Pale,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,CYP,,1,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,DIP,,1,Comp,PIG,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,DIP,,1,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,CYP,,4,Comp,turf,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,DIP,,1,Comp,turf,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,FUN,,6,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,HERPO,,1,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,GAL,,5,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,GAL,,1,Comp,TL,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,GAL,,3,Comp,turf,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,GAL,,1,Comp,BUR,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,PEC,,1,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,EPHY,,1,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,MYC,,5,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,MYC,,1,Comp,SED,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,LOB,,4,Healthy,Healthy,,,
6/24/2017,2017,CristoRei,5m,2,1,CK,SYM,,2,Healthy,Healthy,,,
