"","Pop","Site2","Site","Depth","Major.Category","ave","sd$sd","se","upper","lower"
"33","Urban","Urban-E","ChristoRei","10m","pSoft",55.0310929380697,9.28081735965546,5.35828240089683,60.3893753389665,49.6728105371728
"34","Urban","Urban-E","ChristoRei","10m","pSubSa",15.0069722996922,6.2778623850531,3.62452553794584,18.6314978376381,11.3824467617464
"35","Urban","Urban-E","ChristoRei","10m","pTurCy",8.75157872124506,9.01070724203583,5.2023342517783,13.9539129730234,3.54924446946676
"36","Urban","Urban-E","ChristoRei","5m","pCCA",3.83995703544577,2.5168060404593,1.45307864495725,5.29303568040302,2.38687839048852
"37","Urban","Urban-E","ChristoRei","5m","pCoral",24.4348556119362,3.08929991082818,1.78360813512413,26.2184637470604,22.6512474768121
"38","Urban","Urban-E","ChristoRei","5m","pInv",5.26173294484158,6.51513102538422,3.76151265131126,9.02324559615284,1.50022029353032
"39","Urban","Urban-E","ChristoRei","5m","pMA",1.31951903568445,1.04379612340199,0.602635972825229,1.92215500850968,0.716883062859221
"40","Urban","Urban-E","ChristoRei","5m","pSoft",22.1670195603953,6.74038829365977,3.89156499578707,26.0585845561823,18.2754545646082
"41","Urban","Urban-E","ChristoRei","5m","pSubSa",24.49854109823,16.6027336495751,9.58559274186585,34.0841338400958,14.9129483563641
"42","Urban","Urban-E","ChristoRei","5m","pTurCy",18.4783747134667,23.5300159390949,13.5850610364726,32.0634357499394,4.8933136769941
"43","Urban","Urban-W","DiliRock","10m","pCCA",2.55057056873627,1.27804876398103,0.737881797921914,3.28845236665818,1.81268877081436
"44","Urban","Urban-W","DiliRock","10m","pCoral",45.2278585072776,4.47946238924109,2.58621881625315,47.8140773235307,42.6416396910245
"45","Urban","Urban-W","DiliRock","10m","pInv",3.78005237451766,5.21063932007605,3.00836401409595,6.78841638861362,0.771688360421709
"46","Urban","Urban-W","DiliRock","10m","pMA",14.11658467382,3.03083412549189,1.74985289822185,15.8664375720418,12.3667317755982
