Sample ID,Site2,Site,Depth,Transect,Rep,Location,Nutrient [uM],Concentration
CK 081,Rural-E,Manatuto,10m,22,C,M,NH4,4.686529876
CK 082,Rural-E,Manatuto,10m,23,C,M,NH4,1.05254656
CK 083,Rural-E,Manatuto,10m,24,C,M,NH4,0.734263641
CK 060,Rural-N,Beloi,5m,1,C,C,NO2,0.021595388
CK 061,Rural-N,Beloi,5m,2,C,C,NO2,0
CK 062,Rural-N,Beloi,5m,3,C,C,NO2,0
CK 063,Rural-N,Beloi,10m,4,C,C,NO2,0.002885083
CK 064,Rural-N,Beloi,10m,5,C,C,NO2,0
CK 065,Rural-N,Beloi,10m,6,C,C,NO2,0
CK 066,Urban-W,DiliRock,5m,7,C,M,NO2,0.001520237
CK 067,Urban-W,DiliRock,5m,8,C,M,NO2,0
CK 068,Urban-W,DiliRock,5m,9,C,M,NO2,0
CK 069,Urban-W,DiliRock,10m,10,C,M,NO2,0
CK 070,Urban-W,DiliRock,10m,11,C,M,NO2,0
CK 071,Urban-W,DiliRock,10m,12,C,M,NO2,0
CK 072,Urban-E,ChristoRei,5m,13,C,M,NO2,0
CK 073,Urban-E,ChristoRei,5m,14,C,M,NO2,0
CK 074,Urban-E,ChristoRei,5m,15,C,M,NO2,0.003417969
CK 075,Urban-E,ChristoRei,10m,16,C,M,NO2,0
CK 076,Urban-E,ChristoRei,10m,17,C,M,NO2,0
CK 077,Urban-E,ChristoRei,10m,18,C,M,NO2,0
CK 078,Rural-E,Manatuto,5m,19,C,M,NO2,0
CK 079,Rural-E,Manatuto,5m,20,C,M,NO2,0
CK 080,Rural-E,Manatuto,5m,21,C,M,NO2,0
CK 081,Rural-E,Manatuto,10m,22,C,M,NO2,0
CK 082,Rural-E,Manatuto,10m,23,C,M,NO2,0
CK 083,Rural-E,Manatuto,10m,24,C,M,NO2,0
CK 060,Rural-N,Beloi,5m,1,C,C,NO3,0.613271545
CK 061,Rural-N,Beloi,5m,2,C,C,NO3,0.200501202
CK 062,Rural-N,Beloi,5m,3,C,C,NO3,0.388747709
CK 063,Rural-N,Beloi,10m,4,C,C,NO3,0.794151358
CK 064,Rural-N,Beloi,10m,5,C,C,NO3,0.962861291
CK 065,Rural-N,Beloi,10m,6,C,C,NO3,0.879978814
CK 066,Urban-W,DiliRock,5m,7,C,M,NO3,0.777172774
CK 067,Urban-W,DiliRock,5m,8,C,M,NO3,0.363545414
CK 068,Urban-W,DiliRock,5m,9,C,M,NO3,0.310572483
CK 069,Urban-W,DiliRock,10m,10,C,M,NO3,0.420722043
CK 070,Urban-W,DiliRock,10m,11,C,M,NO3,0.329036528
CK 071,Urban-W,DiliRock,10m,12,C,M,NO3,0.290801522
CK 072,Urban-E,ChristoRei,5m,13,C,M,NO3,0.755844712
CK 073,Urban-E,ChristoRei,5m,14,C,M,NO3,0.714400657
CK 074,Urban-E,ChristoRei,5m,15,C,M,NO3,0.429929371
CK 075,Urban-E,ChristoRei,10m,16,C,M,NO3,0.659157229
CK 076,Urban-E,ChristoRei,10m,17,C,M,NO3,0.288107403
CK 077,Urban-E,ChristoRei,10m,18,C,M,NO3,0.27567476
CK 078,Rural-E,Manatuto,5m,19,C,M,NO3,0.682305634
CK 079,Rural-E,Manatuto,5m,20,C,M,NO3,0.52558567
CK 080,Rural-E,Manatuto,5m,21,C,M,NO3,1.34630339
CK 081,Rural-E,Manatuto,10m,22,C,M,NO3,0.23008169
CK 082,Rural-E,Manatuto,10m,23,C,M,NO3,0.687051364
CK 083,Rural-E,Manatuto,10m,24,C,M,NO3,0.454293979
