month,year,Site,Depth,N,Temp,sd,se,ci,m.y
9,2016,Urban-W,10m,30,28.637733333333333,0.5766605517581574,0.1052833307404394,0.21532858885280792,9/2016
9,2016,Urban-W,5m,30,28.310383333333334,0.5828996140481412,0.10642242245840737,0.21765829299950387,9/2016
10,2016,Rural-N,10m,31,29.484806451612904,0.3795092374242326,0.06816187120953032,0.13920511214117612,10/2016
10,2016,Rural-N,5m,31,29.095048387096774,0.39242033915260477,0.07048077353495302,0.14394094248923978,10/2016
10,2016,Urban-E,10m,31,29.516967741935485,0.34325767618228775,0.061650898603728695,0.12590793212461554,10/2016
10,2016,Urban-E,5m,31,29.288,0.3425105351177778,0.061516708107180774,0.12563387856961836,10/2016
10,2016,Urban-W,10m,31,29.644612903225806,0.34602800247179916,0.062148463893669105,0.1269240960114724,10/2016
10,2016,Urban-W,5m,31,29.25101612903226,0.3697999793553034,0.0664180369816044,0.13564372752912765,10/2016
11,2016,Rural-N,10m,30,30.363133333333334,0.3193958449121193,0.0583134363439298,0.11926436854522372,11/2016
11,2016,Rural-N,5m,30,29.970283333333334,0.2798753935585265,0.05109802211421367,0.1045071894823422,11/2016
11,2016,Urban-E,10m,30,30.430533333333333,0.3516720389631592,0.06420623619465265,0.1313164974750773,11/2016
11,2016,Urban-E,5m,30,30.240583333333333,0.3538796572022888,0.06460929029729637,0.1321408356731874,11/2016
11,2016,Urban-W,10m,30,30.545216666666665,0.4066483629525074,0.07424349378721214,0.15184499422910147,11/2016
11,2016,Urban-W,5m,30,30.067733333333333,0.3607644119360171,0.06586626878748085,0.1347116453408359,11/2016
12,2015,Rural-N,10m,31,29.261306451612903,1.4848887819037682,0.26669389814999617,0.5446616024553448,12/2015
12,2015,Rural-N,5m,31,29.060209677419355,1.5004724299044037,0.26949280395582925,0.5503777306903793,12/2015
12,2015,Urban-E,10m,31,29.122612903225807,1.9396221397894207,0.3483664202346983,0.7114591447455866,12/2015
12,2015,Urban-E,5m,31,28.94735483870968,1.9443464248668427,0.3492149268828893,0.7131920265021755,12/2015
12,2015,Urban-W,10m,31,29.208951612903228,2.077880692576127,0.3731983893657395,0.7621727913376346,12/2015
12,2015,Urban-W,5m,31,28.940725806451614,2.122698254732679,0.3812478611529708,0.778612005856471,12/2015
12,2016,Rural-N,10m,31,30.158967741935484,0.7940505014951696,0.14261568014555204,0.29126007539792825,12/2016
12,2016,Rural-N,5m,31,29.629306451612905,0.8251946202504733,0.1482093290009561,0.30268383038554086,12/2016
12,2016,Urban-E,10m,31,30.047870967741936,0.9051735281861879,0.16257396491652173,0.3320203306606961,12/2016
12,2016,Urban-E,5m,31,29.806451612903224,0.9226875089906177,0.16571956872859248,0.33844451068452436,12/2016
12,2016,Urban-W,10m,31,30.001274193548387,0.9656393895472373,0.1734339542085821,0.35419938766759734,12/2016
12,2016,Urban-W,5m,31,29.449532258064515,0.9707525339951809,0.17435230206146154,0.35607490419283644,12/2016
8,2015,CRWTL,5m,31,27.233874193548388,0.3427087791577975,0.06155231378786353,0.1257065950705646,8/2015
9,2015,CRWTL,5m,30,28.15591,0.1634259240609409,0.029837355029767868,0.06102424294971855,9/2015
10,2015,CRWTL,5m,31,28.190596774193548,0.36556652516687094,0.06565768616347446,0.13409088399613478,10/2015
11,2015,CRWTL,5m,30,30.125113333333335,0.7687094001539577,0.14034649287686263,0.28704080740112575,11/2015
12,2015,CRWTL,5m,31,30.688987096774195,0.5614270797066676,0.10083528021672628,0.20593311541003717,12/2015
1,2016,CRWTL,5m,31,30.923212903225807,0.27411145633596506,0.049231870904220126,0.10054489391986708,1/2016
2,2016,CRWTL,5m,29,30.911189655172414,0.31480130960975905,0.05845713564656302,0.11974401414731306,2/2016
3,2016,CRWTL,5m,31,31.330490322580644,0.3208791645410451,0.05763159926149361,0.11769942778433916,3/2016
4,2016,CRWTL,5m,30,30.826066666666666,0.2562915262680011,0.04679221674480401,0.09570082870757139,4/2016
